Id,Date,Price,Bedrooms,Bathrooms,Sqft_living,Sqft_lot,Floors,Waterfront,View,Condition,Grade,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,Zipcode,Lat,Long,Sqft_living15,Sqft_lot15,House_age,Has_Basement,YearsSinceRenovation,Has_Renovation,Price_persqft,Relative_size,Relativesizecategory,Bathroom_Group,Bedroom_Group
7129300520,10/13/2014,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,71,0,71,0,188.0508475,0.880597015,Average,0-1,2-4
6414100192,12/9/2014,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,75,1,35,1,209.3385214,1.520710059,Large,2-3,2-4
5631500400,2/25/2015,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,93,0,93,0,233.7662338,0.283088235,Small,0-1,0-2
2487200875,12/9/2014,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,61,1,61,0,308.1632653,1.441176471,Average,2-3,2-4
1954400510,2/18/2015,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,39,0,39,0,303.5714286,0.933333333,Average,1-2,2-4
7237550310,5/12/2014,1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,25,1,25,0,226.9372694,1.138655462,Average,3+,2-4
1321400060,6/27/2014,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,31,0,31,0,150.1457726,0.766309205,Small,2-3,2-4
2008000270,1/15/2015,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,63,0,63,0,275.3301887,0.642424242,Small,1-2,2-4
2414600126,4/15/2015,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,66,1,66,0,128.9325843,1,Average,0-1,2-4
3793500160,3/12/2015,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,23,0,23,0,170.8994709,0.790794979,Small,2-3,2-4
1736800520,4/3/2015,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,61,1,61,0,186.0955056,1.610859729,Large,2-3,2-4
9212900260,5/27/2014,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,84,1,84,0,403.4482759,0.872180451,Average,0-1,0-2
114101516,5/28/2014,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,99,0,99,0,216.7832168,0.803370787,Average,0-1,2-4
6054650070,10/7/2014,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,49,0,49,0,291.9708029,1,Average,1-2,2-4
1175000570,3/12/2015,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,126,0,126,0,292.8176796,1.330882353,Average,1-2,4-6
9297300055,1/24/2015,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,47,1,47,0,220.3389831,1.378504673,Average,2-3,2-4
1875500060,7/31/2014,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,32,0,32,0,208.994709,1,Average,1-2,2-4
6865200140,5/29/2014,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,110,0,110,0,303.125,0.99378882,Average,0-1,2-4
16000397,12/5/2014,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,105,0,105,0,157.5,1.132075472,Average,0-1,0-2
7983200060,4/24/2015,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,57,0,57,0,184,0.9765625,Average,0-1,2-4
6300500875,5/14/2014,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,79,1,79,0,237.654321,1.157142857,Average,1-2,2-4
2524049179,8/26/2014,2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,58,1,58,0,655.7377049,0.742092457,Small,2-3,2-4
7137970340,7/3/2014,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,31,0,31,0,125.5506608,1.013392857,Average,2-3,4-6
8091400200,5/16/2014,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,41,0,41,0,236.1682243,0.87704918,Average,1-2,0-2
3814700200,11/20/2014,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,41,0,41,0,134.2857143,1.113636364,Average,2-3,2-4
1202000200,11/3/2014,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,85,0,85,0,136.2573099,1.660194175,Large,1-2,2-4
1794500383,6/26/2014,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,111,1,111,0,382.4489796,1.392045455,Average,1-2,2-4
3303700376,12/1/2014,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,117,0,117,0,476.4285714,0.752688172,Small,0-1,2-4
5101402488,6/24/2014,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,78,1,78,0,288.1578947,1,Average,1-2,2-4
1873100390,3/2/2015,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,21,0,21,0,279.766537,0.977186312,Average,2-3,2-4
8562750320,11/10/2014,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,23,0,23,0,250.2155172,0.899224806,Average,2-3,2-4
2426039314,12/1/2014,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,21,0,21,0,235.2941176,0.856115108,Average,1-2,0-2
461000390,6/24/2014,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,97,1,97,0,295.0643777,1.595890411,Large,1-2,2-4
7589200193,11/10/2014,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,97,0,97,0,490.8256881,0.694267516,Small,0-1,2-4
7955080270,12/3/2014,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,45,1,45,0,156.5533981,1.01980198,Average,2-3,2-4
9547205180,6/13/2014,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,96,1,24,1,302.6086957,1.446540881,Average,2-3,2-4
9435300030,5/28/2014,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,93,1,93,0,331.3253012,0.768518519,Small,0-1,2-4
2768000400,12/30/2014,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,122,0,122,0,271.1864407,1.36416185,Average,1-2,2-4
7895500070,2/13/2015,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,57,1,57,0,196.7213115,0.945736434,Average,0-1,2-4
2078500320,6/20/2014,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,30,0,30,0,230.9160305,1,Average,2-3,2-4
5547700270,7/15/2014,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,26,0,26,0,243.1906615,1.04048583,Average,2-3,2-4
7766200013,8/11/2014,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,42,1,42,0,183.6492891,1.751037344,Large,2-3,2-4
7203220400,7/7/2014,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,12,0,12,0,239.7746871,0.991724138,Average,2-3,4-6
9270200160,10/28/2014,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,104,0,104,0,436.3057325,0.993670886,Average,0-1,2-4
1432701230,7/29/2014,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,67,1,67,0,241.40625,0.955223881,Average,0-1,2-4
8035350320,7/18/2014,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,23,0,23,0,154.4303797,1.036065574,Average,2-3,2-4
8945200830,3/25/2015,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,60,0,60,0,212.6161616,0.806188925,Average,0-1,2-4
